"","Sector","Total Economic mill dollar","Total value Added mill dollar","Employee Com mill dollar","Net Tax mill dollar","Profits mill dollar","Direct Economic mill dollar","Direct Economic","CO t","NH3 t","NOx t","PM10 t","PM2.5 t","SO2 t","VOC t","Total Energy TJ","Coal TJ","NatGase TJ","Petrol TJ","Bio/Waste TJ","NonFossElec TJ","Total t CO2e","CO2 Fossil t CO2e","CO2 Process t CO2e","CH4 t CO2e","N2O t CO2e","HFC/PFCs t CO2e","Fugitive kg","Stack kg","Total Air kg","Surface water kg","U'ground Water kg","Land kg","Offiste kg","POTW Metal kg","POTW Nonmetal kg","Water Withdrawals Kgal"
"1",0,0.008643,0.003931,0.003352,-0.000529,0.001109,0.00144,44.06,0.025227,5.2e-05,0.016156,0.004476,0.000846,0.000777,0.002311,0.053763,9.1e-05,0.018687,0.034985,0,0,3.34228,3.34228,0,0,0,0,0,0,0,0,0,0.000185,3.5e-05,0,0,22.280316
"2",4,0.002689,0.00183,0.001018,0.000388,0.000425,0.000273,10.2,0.00146,2e-06,0.000568,0.000156,3.1e-05,2.9e-05,0.002673,0.002547,1.7e-05,0.000387,0.000572,0,0.001572,0.060079,0.060079,0,0,0,0,0.000584,0.000983,0.001566,7e-06,0,4.2e-05,0.000119,1e-06,3e-06,0.402128
"3",48,0.006654,0.003633,0.002244,7.4e-05,0.001315,0.001548,23.3,0.019526,1.9e-05,0.062806,0.0022,0.002076,0.004189,0.002321,0.014982,4.4e-05,0.006447,0.007488,0,0.001003,0.80463,0.80463,0,0,0,0,1e-04,2.2e-05,0.000122,0,0,1.2e-05,2.8e-05,0,0,3.16995
"4",52,0.030743,0.021298,0.008596,0.000483,0.012219,0.001381,4.49,2.6e-05,1e-06,5.5e-05,9e-06,4e-06,0.000123,2e-06,0.003171,2.4e-05,0.000918,0.001857,0,0.000372,0.17386,0.17386,0,0,0,0,0,0,0,0,0,0,0,0,0,0.837968
"5",112,0.012999,0.00659,0.001193,0.000351,0.005046,0,0,0.035738,0.351702,0.029506,0.005548,0.003891,0.006212,0.010948,0.0798,0,0.00525,0.056183,0,0.018368,31.421963,4.134163,0,19.440394,7.847366,0,0,0,0,0,0,0,0,0,0,206.130343
"6",113,0.000822,0.000319,3.6e-05,6.3e-05,0.000221,0,0,0.016287,1e-05,0.015268,0.001781,0.001723,0.001571,0.002329,0.000807,0,4.3e-05,0.000718,0,4.6e-05,0.056594,0.050921,0,0,0.005673,0,0,0,0,0,0,0,0,0,0,0.154068
"7",522,0.012348,0.0077,0.00338,0.000313,0.004007,0.001764,14.3,1.8e-05,1e-06,3.7e-05,3e-06,2e-06,5.5e-05,2e-06,0.0031,0,0.000796,0.001125,0,0.001179,0.115176,0.115176,0,0,0,0,0,0,0,0,0,0,0,0,0,1.179911
"8",532,0.000846,0.000517,0.000331,4.1e-05,0.000145,0.000191,22.6,0.000124,0,1.6e-05,1e-06,1e-06,1.9e-05,1e-05,0.000572,0,0.000239,0.000176,0,0.000157,0.023786,0.023786,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146271
"9",611,0.001053,0.000576,0.00051,2.5e-05,4.1e-05,0,0,0.00024,1e-06,0.000262,3e-05,1.8e-05,0.000484,2.1e-05,0.006014,2e-06,0.004343,7.7e-05,0,0.001592,0.224185,0.224185,0,0,0,0,1e-06,0,1e-06,0,0,0.000217,6e-06,0,0,5.231197
"10",621,9e-06,5e-06,4e-06,0,1e-06,0,0,0,0,0,0,0,0,0,3e-06,0,1e-06,1e-06,0,1e-06,9.4e-05,9.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001004
"11",624,2e-06,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,1e-06,0,0,0,4.7e-05,4.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076
"12",711,0.000567,0.000246,0.000129,3.3e-05,8.5e-05,4e-05,7.05,2e-06,0,3e-06,0,0,2e-06,2e-06,0.000276,0,6.3e-05,4.7e-05,0,0.000166,0.006219,0.006219,0,0,0,0,9.4e-05,0.000218,0.000312,0,0,0,0.000957,0,2e-06,0.073127
"13",713,0.000292,0.000164,9e-05,2e-05,5.4e-05,1e-05,3.51,0.004757,0,4.1e-05,2e-06,1e-06,3e-06,0.000147,0.000676,6e-06,0.000174,0.000153,0,0.000343,0.019916,0.019916,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177113
"14",721,2.4e-05,1.5e-05,1.2e-05,0,2e-06,1e-06,4.17,1e-06,0,1e-06,0,0,0,0,4.9e-05,1e-06,2.4e-05,1.2e-05,0,1.3e-05,0.002087,0.002087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025883
"15",813,0.002233,0.000801,0.000734,3.9e-05,2.8e-05,5.2e-05,2.33,3.1e-05,1e-06,4.5e-05,6e-06,2e-06,2.8e-05,3e-06,0.003441,3.3e-05,0.001192,0.000877,0,0.00134,0.122861,0.122861,0,0,0,0,0,0,0,0,0,0,0,0,0,1.873303
"16",1111,0.181325,0.048654,0.009647,-0.0351,0.074106,0.105167,79.2,5.888105,2.687352,0.707607,5.695606,1.382822,0.202269,0.723802,1.434904,0,0.142242,1.0889,0,0.203763,512.17395,82.255242,0,34.31078,395.608164,0,0,0,0,0,0,0,0,0,0,158030.549414
"17",1113,0.000252,0.000129,5e-05,6e-06,7.3e-05,0,0,0.001416,0.001111,0.00037,0.007039,0.001207,9.1e-05,0.000385,0.001256,0,7.3e-05,0.000732,0,0.000452,0.139016,0.053974,0,0,0.085042,0,0,0,0,0,0,0,0,0,0,113.276675
"18",1119,0.014363,0.004599,0.001435,0.000583,0.002582,6e-06,0.0509,0.181883,0.119247,0.054656,0.411308,0.078252,0.005871,0.033084,0.067591,0,0.004469,0.050998,0,0.012125,17.84973,3.737298,0,0,14.112383,0,0,0,0,0,0,0,0,0,0,2402.764184
"19",1121,0.045516,0.007775,0.00199,0.000948,0.004836,0,0,0.213404,0.644056,0.032983,0.202257,0.036827,0.017906,0.035584,0.221085,0,0.012379,0.172866,0,0.03584,190.802162,12.49355,0,108.460987,69.847488,0,0,0,0,0,0,0,0,0,0,1761.004937
"20",2122,0.000331,0.000182,0.000111,2e-05,5e-05,0,0,0.001357,4.4e-05,0.001045,0.000285,0.000143,0.000378,0.000154,0.004865,0,0.002256,0.001515,0,0.001094,0.218462,0.218462,0,0,0,0,0.036018,0.056925,0.092943,0.016576,0.009414,22.250477,0.041121,0.000103,0.00032,16.403409
"21",3122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2e-05,1.2e-05,0,0,0,0,0,1e-05,1e-05,1e-06,0,0,1e-06,0,2e-06,6e-06
"22",3259,0.003168,0.00089,0.000574,1.3e-05,0.000303,0.00071,22.4,0.005463,4.6e-05,0.001575,0.000949,0.000388,0.004136,0.000958,0.007796,0.00144,0.003022,0.000891,0.00085,0.001592,0.341855,0.341855,0,0,0,0,0.072187,0.221348,0.293535,0.168105,2.2e-05,0.048691,0.181681,0.002383,0.128062,0.87375
"23",3274,0.000243,1e-04,4.4e-05,1e-06,5.4e-05,4.4e-05,18.1,0.001483,2e-06,0.001579,0.000509,0.000222,0.001067,6.7e-05,0.006829,0.00117,0.004212,0.000848,2.8e-05,0.000571,1.038503,0.38585,0.652653,0,0,0,0.000828,0.062176,0.063004,0,0.000119,0.006442,0.002301,4e-06,0.000246,0.050199
"24",5111,0.001473,0.000716,0.000298,1.6e-05,0.000402,0.00031,21,2.2e-05,0,7e-06,1e-06,0,0,3.2e-05,0.000264,0,4e-05,5.9e-05,0,0.000164,0.005757,0.005757,0,0,0,0,1.8e-05,6.9e-05,8.6e-05,0,0,0,9.3e-05,7e-06,0.00082,0.067079
"25",5416,0.001223,0.000837,0.000473,8e-06,0.000356,0.000371,30.3,3e-06,0,8e-06,2e-06,1e-06,2.1e-05,2e-06,0.000317,0,8.8e-05,0.000113,0,0.000116,0.01209,0.01209,0,0,0,0,0,0,0,2.3e-05,0,0,2.4e-05,0,0,0.066843
"26",5419,0.005326,0.003903,0.000829,7e-05,0.003004,0.000876,16.4,1.4e-05,0,2e-05,3e-06,1e-06,1.4e-05,2e-06,0.001643,1.8e-05,0.000549,0.000408,0,0.000668,0.055396,0.055396,0,0,0,0,3.3e-05,7.6e-05,0.000108,0,0,0,0.000333,0,1e-06,0.402022
"27",7211,0.003266,0.00194,0.000998,0.000387,0.000555,0.00044,13.5,6.6e-05,1e-06,9.9e-05,1.2e-05,5e-06,5.5e-05,6e-06,0.009577,6.4e-05,0.002638,0.00171,0,0.005165,0.255423,0.255423,0,0,0,0,0,0,0,0,0,0,0,0,0,3.510881
"28",8111,0.005067,0.002807,0.001729,0.000239,0.000839,0.001331,26.3,0.001183,1e-06,0.000303,8e-06,6e-06,2.1e-05,0.005264,0.002675,1.5e-05,0.000917,0.000592,0,0.001151,0.08794,0.08794,0,0,0,0,0,0.000328,0.000328,0,0,0,0,0,0,1.158152
"29",21311,0.00019,5.6e-05,4.8e-05,3e-06,4e-06,0,0,0.001128,3e-06,0.001046,0.004578,0.000988,0.00032,0.000155,0.000807,0,5e-05,0.000711,0,4.6e-05,0.0529,0.0529,0,0,0,0,0,0,0,0,0,0.000259,0,0,0,1.666817
"30",31122,0.072134,0.00369,0.002297,0.000113,0.001279,0.060621,84,0.022475,0.002429,0.029625,0.023704,0.014367,0.036258,0.061427,0.25696,0.009554,0.18137,0.011455,0.005732,0.048849,10.785331,10.785331,0,0,0,0,11.149464,20.136423,31.285886,2.311274,0,0.034041,0.136024,0.001438,0.135509,9.939632
"31",31131,0.000989,0.000136,0.000108,6e-06,2.2e-05,0.000675,68.3,0.010565,5.5e-05,0.003321,0.005753,0.003936,0.006718,0.000657,0.015707,0.004807,0.002731,0.000525,0.007264,0.00038,0.601093,0.601093,0,0,0,0,2.7e-05,0.129534,0.129561,0.032175,0,0.085621,0,0,0,0.060816
"32",31151,0.000401,7.3e-05,4.5e-05,1e-06,2.7e-05,0.000231,57.6,5.5e-05,1.3e-05,3.4e-05,5.8e-05,5e-05,3.3e-05,9e-06,0.000608,2e-05,0.000365,2.6e-05,3.1e-05,0.000165,0.02201,0.02201,0,0,0,0,0.001163,3.6e-05,0.001199,0.000934,0,0.001906,2.2e-05,4e-06,0.029127,0.114177
"33",31161,0.085446,0.010317,0.010025,0.000127,0.000165,0.069412,81.2,0.011312,0.003433,0.00981,0.013375,0.011164,0.010809,0.002678,0.128877,0.00436,0.081801,0.005954,0.006567,0.030195,4.92527,4.92527,0,0,0,0,1.60031,0.249839,1.850145,16.404607,0.02221,0.724907,0.790918,0.000529,1.817761,13.752021
"34",32121,0.000308,0.000104,7.8e-05,7e-06,1.9e-05,1.6e-05,8.21,0.000693,1e-06,0.000161,0.000257,0.000132,2.8e-05,0.000441,0.002144,1.1e-05,0.000285,2.1e-05,0.001534,0.000293,0.016938,0.016938,0,0,0,0,0.005879,0.010069,0.015948,2e-06,0,0.001415,0.000577,0,3.3e-05,0.032281
"35",32222,0.037562,0.010533,0.008216,0.000134,0.002183,0.034238,167.3,0.022462,0.000317,0.008058,0.002266,0.001527,0.003274,0.0787,0.055362,0.001268,0.029898,0.000757,0.004883,0.018556,1.663592,1.663592,0,0,0,0,0.394833,2.220832,2.615666,0.004894,0,0.073203,0.329477,0.002645,0.026152,7.226883
"36",32619,0.004364,0.001675,0.001151,1.9e-05,0.000505,0.000965,22.1,0.002404,9e-06,0.000437,0.000215,8.4e-05,0.000744,0.000539,0.00721,0.000375,0.002157,0.000573,0.000136,0.003969,0.181888,0.181888,0,0,0,0,0.042396,0.266181,0.308577,2.9e-05,0,0.00065,0.004628,0.000314,0.002594,0.716963
"37",32711,7.4e-05,3.6e-05,2.9e-05,0,7e-06,1.3e-05,17.6,5.6e-05,1e-06,6.9e-05,4.4e-05,1.6e-05,0.000116,1.6e-05,0.000556,8.8e-05,0.000316,6.8e-05,9e-06,7.6e-05,0.029327,0.029327,0,0,0,0,0.000384,0.006812,0.007197,1.2e-05,0,0.00098,0.005421,1.4e-05,0,0.021839
"38",32712,0.000165,6.8e-05,4.7e-05,1e-06,2.1e-05,0,0,0.000279,6e-06,0.000475,0.000236,8.8e-05,0.000899,4e-05,0.002061,0.000349,0.001235,0.000259,1.9e-05,0.000199,0.114505,0.114505,0,0,0,0,0.00025,0.030727,0.030977,4.1e-05,0,0.001528,0.008644,1.4e-05,7e-06,0.042842
"39",33131,0.017477,0.004657,0.002884,7.2e-05,0.001702,0.000508,4.9,0.273488,0.000681,0.016131,0.010303,0.006866,0.086283,0.013837,0.220061,0,0.089281,0.002753,0.015852,0.112175,12.405935,4.711709,3.53306,0,0,4.161163,1.403301,4.791898,6.195203,0.814606,1.530478,2.282669,3.590028,0.033388,2.526068,2.592832
"40",33211,0.001068,0.000382,0.000342,5e-06,3.4e-05,0.000136,17.1,0.000143,4e-06,0.00014,3.2e-05,1.4e-05,4.6e-05,0.000173,0.002184,2.1e-05,0.001456,2.3e-05,9e-06,0.000674,0.076607,0.076607,0,0,0,0,0.024149,0.039945,0.064094,0.004139,0,6.8e-05,0.056011,0.004357,0.040769,0.140929
"41",33221,0.000865,0.000415,0.000266,3e-06,0.000145,5e-06,6.185,2.9e-05,1e-06,5.1e-05,1.8e-05,9e-06,2.7e-05,5.3e-05,0.001096,1.6e-05,0.000578,9e-06,8e-06,0.000486,0.031113,0.031113,0,0,0,0,0.002067,0.010673,0.012741,3.4e-05,0,7.2e-05,0.013057,0.004761,0.004856,0.087913
"42",33291,0.001093,0.000519,0.000321,6e-06,0.000193,4e-06,0.366,4.7e-05,1e-06,3.5e-05,1.5e-05,6e-06,2.3e-05,3.4e-05,0.000969,1.7e-05,0.000416,6e-06,1e-05,0.000521,0.022824,0.022824,0,0,0,0,0.001689,0.002993,0.004682,0.000778,0,4.9e-05,0.007509,0.000121,0.000554,0.119678
"43",33299,0.001754,0.000781,0.000513,9e-06,0.00026,0.000312,18,0.000369,4.9e-05,0.000391,0.000118,7.9e-05,0.000315,0.000515,0.003301,2.8e-05,0.002113,0.000176,1.5e-05,0.000968,0.120735,0.120735,0,0,0,0,0.042807,0.124772,0.167579,0.000513,0,0.000955,0.058157,0.000628,0.05429,0.154354
"44",33329,0.000599,0.000222,0.000199,3e-06,2e-05,2e-06,0.334,0.005688,1e-06,0.000259,2.1e-05,1.8e-05,2.3e-05,0.000327,0.000407,4e-06,0.000213,6e-06,8e-06,0.000175,0.011461,0.011461,0,0,0,0,0.001604,0.001483,0.003087,0,0,2.9e-05,0.002338,4e-06,0.004789,0.049997
"45",33331,8.4e-05,2.2e-05,1.9e-05,1e-06,2e-06,0,0,5e-06,0,2e-06,0,0,1e-06,1e-06,3.9e-05,0,1.6e-05,6e-06,1e-06,1.5e-05,0.001198,0.001198,0,0,0,0,0.000208,0.000267,0.000475,0,0,1e-06,1.2e-05,0,0,0.005453
"46",33341,0.000298,0.000116,8.8e-05,1e-06,2.8e-05,0.000146,49,5.4e-05,0,2.1e-05,3e-06,1e-06,6e-06,1e-05,0.00026,4e-06,0.000141,5e-06,4e-06,0.000105,0.00782,0.00782,0,0,0,0,0.000778,0.002798,0.003576,0,0,0,4e-06,0,0,0.023041
"47",33351,7.3e-05,2.9e-05,2.7e-05,0,3e-06,4e-06,12.69,1e-06,0,2e-06,1e-06,0,1e-06,3e-06,5.6e-05,1e-06,2.7e-05,1e-06,1e-06,2.7e-05,0.001494,0.001494,0,0,0,0,0.000192,0.000122,0.000313,0,0,3e-06,0.001999,1.4e-05,0,0.005237
"48",33399,0.000445,0.00018,0.000144,2e-06,3.4e-05,1e-06,0.369,0.000231,2e-06,2.2e-05,3e-06,1e-06,4e-06,3.3e-05,0.00037,2e-06,0.000167,3e-06,6e-06,0.000192,0.008762,0.008762,0,0,0,0,0.000407,0.002954,0.003361,8e-06,0,6.6e-05,0.003662,4.5e-05,0.001687,0.042946
"49",33411,0.000629,0.000151,0.000126,2e-06,2.2e-05,5.6e-05,8.9,9e-06,1e-06,1.8e-05,2e-06,1e-06,2.9e-05,5e-06,0.000384,0,0.000157,6.7e-05,2e-06,0.000157,0.012755,0.012755,0,0,0,0,5.8e-05,0.000207,0.000266,0,0,6e-06,6.9e-05,5e-06,0.001499,0.027053
"50",33441,0.00013,5.1e-05,4.5e-05,1e-06,5e-06,3e-06,2.31,3e-06,0,6e-06,2e-06,2e-06,0,1.2e-05,0.000151,0,4.9e-05,0,0,0.000101,0.002508,0.002508,0,0,0,0,0.002455,0.005727,0.008182,7.2e-05,0,3.4e-05,0.014305,9.1e-05,0.044256,0.031811
"51",33451,4.6e-05,1.5e-05,1.5e-05,0,1e-06,3e-06,6.52,0,0,0,0,0,0,1e-06,1.8e-05,0,6e-06,0,0,1.2e-05,0.000319,0.000319,0,0,0,0,2.6e-05,0.000149,0.000176,0,0,0,2e-06,0,1e-04,0.004261
"52",33461,0.00018,5.6e-05,4.3e-05,1e-06,1.2e-05,0,0,1.9e-05,0,7e-06,0,0,0,2e-06,0.000162,0,5e-05,1e-06,1e-06,0.00011,0.002579,0.002579,0,0,0,0,0.000181,1e-06,0.000182,0,0,0,5e-06,2e-06,4.9e-05,0.010594
"53",33641,2e-05,1.1e-05,1e-05,0,1e-06,1e-06,5,1e-06,0,3e-06,1e-06,0,2e-06,2e-06,3.2e-05,1e-06,1.3e-05,1e-06,1e-06,1.7e-05,0.000756,0.000756,0,0,0,0,0.001682,6.9e-05,0.001751,0,0,8.1e-05,0.00017,0,0,0.001471
"54",33712,0.000539,0.000192,0.000133,2e-06,5.7e-05,0.000452,83.9,0.000197,1e-06,7.7e-05,0.000173,0.000113,2.8e-05,0.000981,0.000639,2.1e-05,0.000303,2e-05,8.9e-05,0.000206,0.019732,0.019732,0,0,0,0,0.002646,0.021875,0.02452,2e-06,0,1.2e-05,0.000203,0,4e-06,0.118725
"55",33721,7e-06,4e-06,2e-06,0,2e-06,0,0,7e-06,0,5e-06,5e-06,3e-06,6e-06,7.9e-05,4.9e-05,0,1e-06,0,1e-06,4.7e-05,7.1e-05,7.1e-05,0,0,0,0,0.00101,0.007959,0.008969,0,0,0,0.000126,5e-06,5.1e-05,0.001334
"56",33999,0.000291,0.000135,8.1e-05,1e-06,5.3e-05,1e-06,0.344,1.9e-05,7e-06,1.2e-05,1.3e-05,7e-06,3e-06,7.6e-05,0.00023,0,0.000122,5e-06,8e-06,9.6e-05,0.006643,0.006643,0,0,0,0,0.002636,0.019171,0.021807,1.5e-05,0,5e-06,0.001284,1.6e-05,0.005314,0.030475
"57",54151,0.002875,0.002039,0.00125,2.2e-05,0.000766,0.000304,10.6,1e-06,0,3e-06,0,0,8e-06,0,0.00048,0,5.4e-05,0.000262,0,0.000164,0.019573,0.019573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024106
"58",111200,0.000204,1e-04,2.9e-05,2e-06,6.9e-05,0,0,0.001108,0.001104,0.000262,0.00571,0.000976,7e-05,0.000309,0.000832,0,5.6e-05,0.000537,0,0.00024,0.099077,0.039761,0,0,0.059316,0,0,0,0,0,0,0,0,0,0,48.25514
"59",111335,5.2e-05,2.9e-05,1e-05,1e-06,1.7e-05,0,0,0.00028,0.000213,6.4e-05,0.001464,0.00025,1.8e-05,8e-05,0.000259,0,1.5e-05,0.000153,0,9.1e-05,0.026847,0.011242,0,0,0.015605,0,0,0,0,0,0,0,0,0,0,24.275614
"60",111400,0.000389,0.000243,0.000102,3e-06,0.000137,0,0,0.002237,0.001074,0.000613,0.010885,0.001869,0.000113,0.000363,0.002159,0,0.00084,0.000952,0,0.000366,0.159087,0.107835,0,0,0.051252,0,0,0,0,0,0,0,0,0,0,20.277069
"61",111910,4.8e-05,9e-06,8e-06,2e-06,0,0,0,0.000471,0.000342,0.000262,0.001352,0.000249,5.1e-05,0.000108,0.000706,0,3.5e-05,0.000533,0,0.000138,0.108513,0.038502,0,0,0.070011,0,0,0,0,0,0,0,0,0,0,0.913239
"62",111920,0.00179,0.000356,0.000184,-0.000465,0.000637,0,0,0.0135,0.020437,0.006495,0.05046,0.008973,0.002109,0.002133,0.022236,0,0.002307,0.015129,0,0.0048,4.631796,1.160195,0,0,3.471601,0,0,0,0,0,0,0,0,0,0,2214.052603
"63",112120,0.000752,0.000287,7.2e-05,9e-06,0.000206,0,0,0.00207,0.013286,0.00161,0.000422,0.000233,0.000363,0.000658,0.003937,0,0.000108,0.002381,0,0.001449,2.130599,0.169461,0,1.663218,0.297916,0,0,0,0,0,0,0,0,0,0,3.718023
"64",112300,0.000879,0.000162,3.7e-05,4e-06,0.000121,0,0,0.000754,0.021176,0.00039,0.000183,8.1e-05,0.000102,0.00045,0.003892,0,0.000674,0.002391,0,0.000828,0.39008,0.199276,0,0.112167,0.078638,0,0,0,0,0,0,0,0,0,0,1.138242
"65",113300,0.003094,0.001062,0.000489,7.2e-05,0.000501,0,0,0.010553,7e-06,0.002989,0.000312,0.000279,0.000555,0.001691,0.002721,4.2e-05,0,0.002646,0,3.4e-05,0.189952,0.183767,0,0,0.006186,0,0,0,0,0,0,0,0,0,0,0.02722
"66",114100,0.004084,0.002504,0.000519,0.000112,0.001872,0.000309,7.57,0.001365,0.000249,0.005279,0.000483,0.000381,0.007506,0.000228,0.05155,0,0,0.05155,0,0,3.56713,3.56713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",114200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",115000,0.014096,0.008156,0.00737,0.000332,0.000454,0,0,0.25652,1e-05,0.003771,0.000755,0.000699,0.000209,0.020922,0.012677,0,0,0.008818,0,0.00386,0.597536,0.597536,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",211000,0.027124,0.013744,0.001809,0.002422,0.009513,4.8e-05,0.177,0.107966,7.6e-05,0.078455,0.000735,0.000631,0.00528,0.10967,0.254513,0,0.207908,0.021651,0,0.024955,42.519311,11.977362,7.791857,22.750147,0,0,0,0,0,0,0,0,0,0,0,1.754226
"70",212100,0.003422,0.001751,0.000872,0.000374,0.000505,0.000603,17.6,0.028399,0.000137,0.027611,0.005385,0.003967,0.006276,0.004238,0.027397,0.000839,0.010579,0.010548,0,0.005431,11.918238,1.345152,0,10.573089,0,0,0.047067,0.005363,0.05243,0.011809,0.005008,1.116987,0.000408,0,0,0.681191
"71",212210,0.000404,0.000162,9e-05,2.1e-05,5.1e-05,0,0,0.002894,1.9e-05,0.002223,0.00037,0.00021,0.000999,0.000308,0.012859,0.00052,0.005564,0.001506,0,0.005269,0.430338,0.430338,0,0,0,0,0,0,0,0,0,0,0,0,0,11.268237
"72",212230,0.000341,0.000197,7.6e-05,2.9e-05,9.2e-05,0,0,0.000276,1e-05,0.000972,0.000818,0.000371,0.000767,0.000132,0.004175,0,0,0.001931,0,0.002244,0.133581,0.133581,0,0,0,0,0.035937,0.020971,0.056909,0.008332,1.207746,59.730055,0.009991,0,0,11.957409
"73",212310,0.001041,0.000571,0.000272,2.3e-05,0.000276,0,0,0.002379,2.8e-05,0.002242,0.025959,0.005491,0.001097,0.000298,0.00875,0,0.001934,0.004994,0,0.001821,0.445262,0.445262,0,0,0,0,0,2e-06,2e-06,0,0,0.002351,0,0,0,51.082925
"74",212320,0.000222,0.000116,6.9e-05,5e-06,4.2e-05,0,0,0.000754,6e-06,0.000617,0.005563,0.001215,0.000325,8.7e-05,0.002669,0.000212,0.000883,0.001101,0,0.000473,0.140626,0.140626,0,0,0,0,0,3e-06,3e-06,0,0,0,0,0,0,12.954464
"75",212390,0.00137,0.000698,0.000331,4.6e-05,0.000321,0.000119,8.69,0.00892,7.2e-05,0.008866,0.0331,0.007174,0.002183,0.001212,0.027688,0.000129,0.01378,0.008052,0,0.005727,1.262986,1.262986,0,0,0,0,0,0,0,0,0,0,0,0,0,1.650505
"76",213111,3e-06,1e-06,1e-06,0,1e-06,0,0,3.7e-05,0,2.6e-05,2e-06,2e-06,4e-06,5e-06,9e-06,0,0,9e-06,0,1e-06,0.000618,0.000618,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001545
