"","Sector","Total Economic mill dollar","Total value Added mill dollar","Employee Com mill dollar","Net Tax mill dollar","Profits mill dollar","Direct Economic mill dollar","Direct Economic","CO t","NH3 t","NOx t","PM10 t","PM2.5 t","SO2 t","VOC t","Total Energy TJ","Coal TJ","NatGase TJ","Petrol TJ","Bio/Waste TJ","NonFossElec TJ","Total t CO2e","CO2 Fossil t CO2e","CO2 Process t CO2e","CH4 t CO2e","N2O t CO2e","HFC/PFCs t CO2e","Fugitive kg","Stack kg","Total Air kg","Surface water kg","U'ground Water kg","Land kg","Offiste kg","POTW Metal kg","POTW Nonmetal kg","Water Withdrawals Kgal"
"307",337122,3e-06,1e-06,1e-06,0,0,0,0,1e-06,0,1e-06,1e-06,0,0,1e-05,3e-06,0,1e-06,0,0,2e-06,6e-05,6e-05,0,0,0,0,3.4e-05,0.000428,0.000462,0,0,1e-06,3e-06,0,0,0.000344
"308",337127,2.1e-05,9e-06,6e-06,0,3e-06,1.1e-05,52.4,3e-06,0,1e-06,1e-06,0,0,3.4e-05,2e-05,0,9e-06,1e-06,3e-06,7e-06,0.000554,0.000554,0,0,0,0,5.2e-05,0.00037,0.000422,0,0,0,6.8e-05,0,0,0.003134
"309",337212,1.2e-05,6e-06,4e-06,0,2e-06,3e-06,25,1e-06,0,0,0,0,0,1.6e-05,8e-06,0,5e-06,0,2e-06,1e-06,0.000306,0.000306,0,0,0,0,2.4e-05,7.7e-05,1e-04,0,0,0,0,0,0,0.001728
"310",337215,7.9e-05,3e-05,2.6e-05,0,4e-06,3e-06,3.8,1.3e-05,0,7e-06,5e-06,3e-06,3e-06,0.000126,0.000107,2e-06,5.3e-05,3e-06,1.4e-05,3.6e-05,0.003265,0.003265,0,0,0,0,0.001288,0.00468,0.005968,0,0,0,7e-06,0,0,0.013339
"311",337910,7e-06,3e-06,1e-06,0,1e-06,0,0,0,0,0,0,0,0,0,3e-06,0,1e-06,0,1e-06,1e-06,7.9e-05,7.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00052
"312",337920,9e-05,3e-05,2.7e-05,0,3e-06,6.5e-05,72.2,1e-06,0,2e-06,1e-06,1e-06,3e-06,1.7e-05,5.2e-05,2e-06,1.4e-05,1e-06,1.3e-05,2.2e-05,0.001047,0.001047,0,0,0,0,0.00033,0.002458,0.002789,0,0,0,4.4e-05,0,6e-06,0.009205
"313",339111,5e-06,2e-06,1e-06,0,1e-06,0,0,0,0,0,0,0,0,0,3e-06,0,1e-06,0,0,1e-06,8.8e-05,8.8e-05,0,0,0,0,9e-06,1.8e-05,2.8e-05,0,0,0,1e-06,0,0,0.000367
"314",339112,3.7e-05,2.1e-05,1e-05,0,1e-05,7e-06,18.9,0,0,0,0,0,0,1e-06,1.5e-05,0,5e-06,0,1e-06,9e-06,0.000262,0.000262,0,0,0,0,0.000252,0.001157,0.001409,1e-06,0,3.6e-05,4.2e-05,1e-06,0.000216,0.002243
"315",339113,0.000156,8.5e-05,3.8e-05,0,4.7e-05,3.1e-05,19.9,2e-06,1e-06,2e-06,0,0,1e-06,6e-06,7.1e-05,0,3.1e-05,2e-06,4e-06,3.5e-05,0.001743,0.001743,0,0,0,0,0.000288,0.001713,0.002001,0,0,3.8e-05,0.000401,2.8e-05,0.000443,0.009749
"316",339114,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-06,3e-06,0,0,0,0,3e-06,4e-06,7e-06,0,0,0,1e-06,0,0,3.8e-05
"317",339115,6e-06,3e-06,2e-06,0,2e-06,0,0,0,0,0,0,0,0,0,3e-06,0,1e-06,0,0,2e-06,3.8e-05,3.8e-05,0,0,0,0,1.5e-05,0.000109,0.000124,0,0,0,0,0,1.9e-05,0.000299
"318",339116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-06
"319",339910,2.1e-05,7e-06,5e-06,0,2e-06,0,0,1e-06,0,1e-06,0,0,0,5e-06,7e-06,0,4e-06,0,0,2e-06,0.000234,0.000234,0,0,0,0,0.000594,0.00112,0.001713,1.5e-05,0,1.6e-05,0.001897,9e-06,0.000697,0.000679
"320",339920,1.5e-05,6e-06,3e-06,0,3e-06,0,0,0,0,0,0,0,0,2e-06,1.1e-05,0,6e-06,0,0,4e-06,0.00033,0.00033,0,0,0,0,0.000252,0.000914,0.001167,3.5e-05,0,1e-06,0.000324,3.7e-05,0.00029,0.001076
"321",339930,8e-06,4e-06,1e-06,0,2e-06,0,0,1e-06,0,0,0,0,0,2e-06,5e-06,0,3e-06,0,0,2e-06,0.00015,0.00015,0,0,0,0,0.000218,0.000518,0.000736,0,0,3.4e-05,0.000235,2.3e-05,0.000198,0.000674
"322",339940,0.000174,9.3e-05,4.4e-05,1e-06,4.8e-05,9e-06,5.17,2.8e-05,0,1e-05,3e-06,2e-06,1e-06,9e-06,0.000117,0,5.5e-05,2e-06,4e-06,5.6e-05,0.002985,0.002985,0,0,0,0,0.003742,0.003605,0.007347,0.000235,0,0,0.000156,0,0.001575,0.020018
"323",339950,0.000318,0.00012,0.000112,6e-06,1e-06,6.5e-05,20.4,4e-06,0,7e-06,0,0,3e-06,1.1e-05,0.000236,0,0.000134,8e-06,1e-05,8.5e-05,0.007566,0.007566,0,0,0,0,0.000188,0.000712,9e-04,0,0,0,8.5e-05,1e-06,0.000995,0.207168
"324",339991,0.000311,0.00014,0.000106,1e-06,3.3e-05,4e-06,1.29,1e-05,0,1.7e-05,2e-06,1e-06,5e-06,3.7e-05,0.000413,0,0.000194,1e-05,1e-05,0.000199,0.010744,0.010744,0,0,0,0,0.007812,0.023352,0.031164,3.5e-05,0,0,0.010413,0.001334,0.000705,0.082635
"325",339992,1e-05,5e-06,3e-06,0,2e-06,0,0,0,0,0,0,0,0,1e-06,7e-06,0,4e-06,0,0,3e-06,0.000215,0.000215,0,0,0,0,2.5e-05,0.000104,0.000129,0,0,0,3.6e-05,0,0,0.000788
"326",339994,8.5e-05,4.3e-05,2.1e-05,0,2.1e-05,1e-06,1.18,1e-06,0,1e-06,0,0,0,0,5.2e-05,0,2.5e-05,1e-06,2e-06,2.4e-05,0.001351,0.001351,0,0,0,0,1.6e-05,6e-05,7.6e-05,0,0,0,0,0,3.6e-05,0.004426
"327",420000,0.11201,0.077904,0.042247,0.01825,0.017407,0.057389,51.2,0.056164,0.000178,0.055265,0.015324,0.002879,0.003757,0.029725,0.097824,0.000445,0.018521,0.056598,0,0.022261,3.629942,3.629942,0,0,0,0,0.067601,0.108615,0.176216,0.000551,0,0.003125,0.022658,5.9e-05,0.002064,7.845897
"328",481000,0.003157,0.00138,0.001221,0.000167,-8e-06,0.000549,17.4,0.013739,0,0.00234,0.000558,0.000417,0.000208,0.001088,0.074865,0,0,0.074753,0,0.000112,5.021621,5.021621,0,0,0,0,0,0.000944,0.000944,0,0,0,1.5e-05,0,0,0.040955
"329",482000,0.022716,0.010995,0.004805,-0.000462,0.006652,0.014296,62.9,0.067123,0.000177,0.517402,0.014175,0.013545,0.035296,0.024888,0.312718,0,0,0.307631,0,0.005085,21.082197,21.082197,0,0,0,0,0,0,0,0,0,0,0,0,0,1.426626
"330",483000,0.002354,0.000691,0.000419,-1.5e-05,0.000287,0.000709,30.1,0.00871,1.9e-05,0.079936,0.005374,0.004956,0.037811,0.005503,0.094404,0,0,0.093899,0,0.000505,5.884803,5.884803,0,0,0,0,0,0,0,0,0,0,0,0,0,1.807327
"331",484000,0.043388,0.019714,0.013084,0.000784,0.005847,0.02178,50.2,0.347534,0.000985,0.366792,0.104853,0.018352,0.007549,0.038994,0.567732,0,0,0.562339,0,0.005393,41.884693,41.884693,0,0,0,0,0,0,0,0,0,0,0,0,0,2.172901
"332",485000,0.000823,0.000468,0.000308,6e-05,1e-04,8.9e-05,10.8,0.000752,4e-06,0.002899,0.001255,0.000251,8.9e-05,0.000171,0.007093,0,0,0.005463,0,0.001631,0.064217,0.064217,0,0,0,0,0,0,0,0,0,0,0,0,0,1.045454
"333",486000,0.003206,0.000805,0.000474,4.5e-05,0.000286,0,0,0.003707,2.5e-05,0.003215,3.3e-05,2.9e-05,2.3e-05,0.012142,0.137136,0,0.104229,0,0,0.032907,11.461174,5.241252,0.014365,6.205561,0,0,0,0,0,0,0,0,0,0,0,0
"334",491000,0.004129,0.003256,0.003369,0,-0.000114,0,0,0.004129,1.2e-05,0.004386,0.001235,0.000217,8.9e-05,0.000463,0.007212,0,0.002241,0.003934,0,0.001037,0.362534,0.362534,0,0,0,0,0,0,0,0,0,0,0,0,0,6.737338
"335",492000,0.005212,0.003018,0.00242,2.9e-05,0.000569,2.2e-05,0.422,0.050891,0.000144,0.053764,0.015372,0.00269,0.001107,0.005713,0.064285,0,0,0.063285,0,0.001,4.359948,4.359948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431366
"336",493000,0.004896,0.002959,0.002575,0.000106,0.000278,0.001056,21.6,0.003974,3e-06,0.000995,5e-05,2.3e-05,8.6e-05,0.000257,0.010282,0.000252,0.001694,0.00346,0,0.004876,0.327335,0.327335,0,0,0,0,0.000621,0,0.000621,0,0,0,0,0,0,0.964277
"337",511110,0.002921,0.001653,0.00109,4.5e-05,0.000518,0.000696,23.8,2.5e-05,0,1.7e-05,3e-06,2e-06,3e-06,7.7e-05,0.001158,5e-06,0.000224,0.000131,0,0.000797,0.020101,0.020101,0,0,0,0,0.000187,1e-06,0.000188,0,0,0,0,0,2e-06,0.613777
"338",511120,0.0021,0.000903,0.000537,2e-05,0.000346,0.000421,20,5e-06,0,6e-06,4e-06,3e-06,0,5.1e-05,0.000429,0,4e-05,0.000169,0,0.00022,0.01275,0.01275,0,0,0,0,0.000569,1.3e-05,0.000582,0,0,0,0,0,0,0.058993
"339",511130,0.000135,7.3e-05,3.1e-05,2e-06,4e-05,3e-06,2.22,2e-06,0,1e-06,0,0,0,1e-06,2.8e-05,0,8e-06,6e-06,0,1.4e-05,0.000793,0.000793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003899
"340",511200,0.00108,0.000669,0.000396,1.6e-05,0.000257,9.3e-05,8.61,0,0,1e-06,0,0,1e-06,0,0.000134,0,1e-05,4.5e-05,0,7.8e-05,0.00341,0.00341,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013969
"341",512100,0.001565,0.00101,0.000293,5.3e-05,0.000664,3e-06,0.192,2e-06,0,3e-06,0,0,1e-06,0,0.000474,2e-06,9e-05,5.3e-05,0,0.000329,0.008052,0.008052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08408
"342",512200,0.000132,4.9e-05,2.4e-05,2e-06,2.3e-05,0,0,0,0,0,0,0,0,2e-06,3.2e-05,0,2e-06,9e-06,0,2.1e-05,0.000687,0.000687,0,0,0,0,0.000208,1e-06,0.000209,2e-06,0,0,9e-06,3e-06,5.6e-05,0.000908
"343",515100,0.004379,0.001918,0.001198,7.7e-05,0.000642,0.00095,21.7,3e-05,0,4.1e-05,3e-06,1e-06,6e-06,3e-06,0.00237,2.2e-05,0.001299,0.000663,0,0.000386,0.109384,0.109384,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891995
"344",515200,0.001707,0.000756,0.000232,2.9e-05,0.000495,0.000262,15.3,9e-06,0,1.3e-05,1e-06,0,2e-06,1e-06,0.00074,6e-06,0.00039,0.000227,0,0.000116,0.034773,0.034773,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140146
"345",516110,0.000512,0.000263,0.000198,3e-06,6.2e-05,5.4e-05,10.5,1e-06,0,1e-06,1e-06,0,0,4e-06,9.4e-05,0,1e-05,4.5e-05,0,3.9e-05,0.003369,0.003369,0,0,0,0,4.3e-05,1e-06,4.4e-05,0,0,0,0,0,0,0.011311
"346",517000,0.010915,0.005951,0.002257,0.000814,0.002879,0.000939,8.6,0.001627,2e-06,0.000225,2e-05,9e-06,5.7e-05,9.8e-05,0.009401,1e-04,0.005264,0.002467,0,0.001571,0.433508,0.433508,0,0,0,0,0,0,0,0,0,0,0,0,0,3.137069
"347",518100,0.000746,0.000461,0.00017,5e-06,0.000285,0.000141,18.9,0,0,0,0,0,0,0,0.000137,0,6e-06,4.3e-05,0,8.8e-05,0.003072,0.003072,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004811
"348",518200,0.00379,0.002258,0.001456,4.1e-05,0.00076,0.000812,21.4,2e-06,0,4e-06,0,0,6e-06,0,0.000861,0,0.000102,0.000238,0,0.000522,0.020382,0.020382,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241129
"349",519100,0.000143,9.6e-05,6e-05,0,3.6e-05,0,0,0,0,1e-06,0,0,0,0,7.2e-05,0,2e-05,1.2e-05,0,4e-05,0.001771,0.001771,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008483
"350",523000,0.009029,0.005064,0.003947,6.2e-05,0.001056,0.000407,4.51,5e-06,0,1.1e-05,2e-06,1e-06,3e-05,0,0.001528,5e-06,0.000142,0.000527,0,0.000853,0.042848,0.042848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233395
"351",524100,0.004368,0.002277,0.001268,0.000261,0.000748,0,0,0,0,0,0,0,0,0,0.000123,0,5e-06,7e-06,0,0.000111,0.000671,0.000671,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003917
"352",524200,0.0023,0.00132,0.000836,1.3e-05,0.000471,2e-06,0.087,4e-06,0,6e-06,1e-06,0,5e-06,0,0.000564,5e-06,0.000177,0.000157,0,0.000226,0.019538,0.019538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055943
"353",525000,0.000174,4.3e-05,1.8e-05,4e-06,2.1e-05,0,0,0,0,0,0,0,0,0,5e-06,0,0,1e-06,0,4e-06,9.5e-05,9.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000292
"354",531000,0.062363,0.049144,0.004586,0.006293,0.038265,0.004146,6.65,0.001663,1.2e-05,0.000535,0.000417,0.000102,0.000845,0.00013,0.057647,0.003027,0.008333,0.00109,0,0.045197,0.760099,0.760099,0,0,0,0,0,0,0,0,0,0,0,0,0.001747,23.348208
"355",532100,0.003192,0.00185,0.000584,0.000239,0.001027,0.001012,31.7,4e-06,0,7e-06,1e-06,0,6e-06,0,0.000702,7e-06,0.000149,0.00019,0,0.000355,0.02116,0.02116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132692
"356",532230,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,1e-06,1.8e-05,1.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192
"357",532400,0.005923,0.003273,0.001467,0.000208,0.001598,0.001079,18.2,0.101938,6e-06,0.001573,0.000328,0.00029,0.000599,0.008301,0.003085,3.2e-05,0.001348,0.001097,0,0.000609,0.152346,0.152346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413776
"358",533000,0.012857,0.01047,0.000242,0.000123,0.010105,0.001921,14.9,8.1e-05,1e-06,0.000118,1e-06,1e-06,1e-06,7e-06,0.010868,0,0.003899,0.001081,0,0.005888,0.264731,0.264731,0,0,0,0,0,0,0,0,0,0,0,0,0,2.305414
"359",541100,0.009744,0.007208,0.004118,6e-05,0.003029,0.001256,12.9,1.1e-05,0,2e-05,3e-06,1e-06,3.9e-05,1e-06,0.001794,1.2e-05,0.000405,0.000623,0,0.000755,0.061829,0.061829,0,0,0,0,1.4e-05,3.3e-05,4.8e-05,0,0,0,0.000147,0,0,0.269092
"360",541200,0.007355,0.005483,0.00364,4.7e-05,0.001796,0.001151,15.6,7.8e-05,0,3.6e-05,4e-06,1e-06,3.3e-05,5e-06,0.001999,1.8e-05,0.000461,0.000571,0,0.000949,0.061686,0.061686,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257625
"361",541300,0.008635,0.005373,0.003991,5.9e-05,0.001323,0.002579,29.9,0.000452,5e-06,0.000303,9.2e-05,3.2e-05,0.001056,3.2e-05,0.00535,0.000276,0.000826,0.003419,0,0.000829,0.306096,0.306096,0,0,0,0,0.00011,0.00031,0.00042,0,0,0,0.000764,0,2e-06,0.470432
"362",541400,0.002177,0.001526,0.000572,6.6e-05,0.000888,0.001043,47.9,3e-06,0,3e-06,0,0,0,3e-06,0.000505,0,9e-05,0.00012,0,0.000295,0.012179,0.012179,0,0,0,0,0.000215,0.000498,0.000713,0,0,0,0.002189,0,4e-06,0.068653
"363",541511,0.00108,0.000783,0.000639,4e-06,0.000139,7.6e-05,7.04,0,0,1e-06,0,0,1e-06,0,7.6e-05,1e-06,1.6e-05,2.7e-05,0,3.2e-05,0.002593,0.002593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008132
"364",541512,0.00264,0.001428,0.001277,6e-05,9e-05,0.000323,12.2,4.4e-05,0,1.4e-05,1e-06,0,1.2e-05,3e-06,0.000627,0,2.6e-05,0.000381,0,0.00022,0.025845,0.025845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059638
"365",541610,0.009619,0.006466,0.003898,7.4e-05,0.002494,0.003105,32.3,7e-06,0,2.9e-05,5e-06,2e-06,0.000111,1e-06,0.001476,0,0.000219,0.000668,0,0.000589,0.056329,0.056329,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201179
"366",541700,0.007208,0.004088,0.003805,3.8e-05,0.000245,0.001376,19.1,0.006847,9e-06,0.000491,0.000349,9.9e-05,0.000736,0.000484,0.009551,0.002381,0.002042,0.003221,0,0.001907,0.524147,0.524147,0,0,0,0,0.000192,5.8e-05,0.000249,0.002202,0,0.000355,0.005835,1e-06,0,0.674759
"367",541800,0.007343,0.004865,0.002976,8.6e-05,0.001802,0.001761,24,3.1e-05,0,2.6e-05,5e-06,2e-06,5.2e-05,5e-06,0.001943,1.5e-05,0.000349,0.000482,0,0.001097,0.051524,0.051524,0,0,0,0,0.000167,0.000387,0.000553,0,0,0,0.001699,0,3e-06,0.231524
"368",541920,0.000167,0.000101,3.5e-05,9e-06,5.7e-05,0,0,1e-06,0,2e-06,0,0,6e-06,0,9e-05,2e-06,2e-05,2.2e-05,0,4.6e-05,0.002742,0.002742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011912
"369",541940,0.000102,4.7e-05,3.6e-05,3e-06,9e-06,0,0,1.4e-05,0,1e-06,0,0,0,1e-06,6.3e-05,1e-06,3e-05,2.4e-05,0,9e-06,0.003058,0.003058,0,0,0,0,0,2e-06,2e-06,0,0,0,0,0,0,0.004343
"370",550000,0.092225,0.057089,0.048333,0.001402,0.007353,0.053398,57.9,0.000747,9e-06,0.000698,9.9e-05,3.5e-05,0.000647,5.9e-05,0.052685,0.000512,0.017664,0.010535,0,0.023974,1.644584,1.644584,0,0,0,0,0,0,0,0,0,0,0,0,0,1.087923
"371",561100,0.002141,0.001324,0.001115,2.6e-05,0.000184,0.000367,17.1,6e-06,0,1e-05,1e-06,0,9e-06,1e-06,0.000803,5e-06,0.000235,0.000232,0,0.00033,0.027211,0.027211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186009
"372",561200,0.000536,0.000317,0.000233,6e-06,7.8e-05,0.000171,31.9,4e-06,0,8e-06,1e-06,0,7e-06,0,0.000258,3e-06,6.7e-05,5.4e-05,0,0.000133,0.007234,0.007234,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0.649715
"373",561300,0.008558,0.007009,0.006798,4.1e-05,0.00017,0.001192,13.9,1.1e-05,0,2.7e-05,5e-06,2e-06,7.6e-05,1e-06,0.002308,1.6e-05,0.000375,0.00095,0,0.000968,0.082576,0.082576,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068661
"374",561400,0.004123,0.00261,0.001643,7.3e-05,0.000894,0.001124,27.3,4.6e-05,0,2.3e-05,3e-06,1e-06,6e-06,1.8e-05,0.001498,7e-06,0.000324,0.000493,0,0.000675,0.048665,0.048665,0,0,0,0,0.001021,0.00237,0.003391,0,0,0,0.010418,2e-06,2.1e-05,0.124188
"375",561500,0.001202,0.000711,0.000462,8e-06,0.000241,0,0,2.2e-05,1e-06,3.3e-05,4e-06,2e-06,1.9e-05,2e-06,0.001668,2.2e-05,0.000889,0.000641,0,0.000116,0.090352,0.090352,0,0,0,0,1.3e-05,3e-05,4.3e-05,0,0,0,0.000133,0,0,0.023749
"376",561600,0.001817,0.001279,0.001054,4.3e-05,0.000183,0.00041,22.6,0.003335,0,4.9e-05,1e-05,9e-06,3e-06,0.000274,0.000512,0,0.000106,0.000181,0,0.000225,0.016987,0.016987,0,0,0,0,7e-06,2e-06,9e-06,0,0,0,0,0,0,0.051433
"377",561700,0.008019,0.004348,0.003176,0.000203,0.000969,0.002005,25,0.031334,4e-06,0.000596,0.000119,1e-04,0.000217,0.002472,0.008324,2.7e-05,0.000949,0.006673,0,0.000676,0.50155,0.50155,0,0,0,0,0.001172,0.000185,0.001356,0,0,0,0.000498,0,1e-06,1.168538
"378",561900,0.002225,0.001428,0.00077,2.9e-05,0.00063,0.000493,22.2,4e-05,0,2.3e-05,2e-06,1e-06,6e-06,9e-06,0.00146,1e-05,0.000419,0.000353,0,0.000678,0.044845,0.044845,0,0,0,0,0.000442,0.001025,0.001467,0,0,0,0.004507,1e-06,9e-06,0.23174
"379",562000,0.003242,0.001801,0.000956,6.4e-05,0.000781,0.000819,25.3,0.005241,0.000319,0.003429,0.00079,0.000519,0.00081,0.002399,0.004902,2.6e-05,0.000889,0.003528,0,0.000459,7.887688,0.288382,0,7.513899,0.085385,0,0.006272,0.008304,0.014576,0.016611,0.488399,3.471105,1.187768,0.000898,0.086064,3.409677
"380",611100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"381",621600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"382",622000,1e-06,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,1e-06,1.1e-05,1.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00027
"383",623000,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,4e-05,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000361
"384",624200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05
"385",624400,2e-06,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,1e-06,4.6e-05,4.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00048
"386",711100,0.000341,0.000184,0.000104,2.2e-05,5.8e-05,0,0,1e-06,0,2e-06,0,0,9e-06,0,0.000103,0,2.6e-05,1.9e-05,0,5.8e-05,0.002729,0.002729,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024638
"387",711200,0.000799,0.000463,0.000347,7.6e-05,4.1e-05,3.1e-05,3.88,2e-06,0,2e-06,0,0,1e-06,0,0.000395,3e-06,6e-05,6.3e-05,0,0.000269,0.007261,0.007261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129262
"388",711500,0.00119,0.000807,0.000291,8e-06,0.000508,0.000173,14.5,2e-06,0,4e-06,3e-06,2e-06,5e-06,2.3e-05,0.000113,0,3e-05,3.3e-05,0,5e-05,0.003722,0.003722,0,0,0,0,1e-04,3.1e-05,0.000131,2.2e-05,0,0,2.3e-05,0,0,0.023239
"389",712000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"390",713940,0.00019,1e-04,6.4e-05,8e-06,2.8e-05,2.1e-05,11.1,8e-06,0,7e-06,1e-06,0,1e-05,1e-06,0.000514,4e-06,0.00014,0.000117,0,0.000252,0.015313,0.015313,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113361
"391",713950,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,2e-06,3.8e-05,3.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000287
"392",722000,0.006888,0.003687,0.002623,0.000426,0.000639,0.001077,15.6,0.002369,2e-06,0.000218,3.8e-05,1.6e-05,0.000109,0.000123,0.010172,0.000208,0.003055,0.002211,0,0.004698,0.323449,0.323449,0,0,0,0,0,0,0,0,0,0,0,0,0,2.911971
"393",811192,0.000191,0.000115,5.6e-05,8e-06,5.1e-05,5.1e-05,26.7,6e-06,0,9e-06,1e-06,0,5e-06,0,0.00057,4e-06,0.000228,0.000171,0,0.000167,0.023537,0.023537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294227
"394",811200,0.001707,0.001125,0.000713,3.4e-05,0.000378,0.000409,24,5e-06,0,8e-06,1e-06,0,5e-06,0,0.000592,9e-06,0.000193,0.000135,0,0.000254,0.019761,0.019761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190639
"395",811300,0.003905,0.00259,0.001552,6.2e-05,0.000976,0.001147,29.4,0.007357,2e-06,0.000317,4.5e-05,4e-05,3.8e-05,0.000427,0.002045,1e-05,0.000573,0.000631,0,0.00083,0.072885,0.072885,0,0,0,0,0.000332,9.9e-05,0.000431,0,0,0,3.1e-05,0,0,1.700788
"396",811400,0.001392,0.000868,0.000436,4.1e-05,0.00039,0.000276,19.8,0.061281,2e-06,0.000872,0.000188,0.000172,5.7e-05,0.005118,0.000743,4e-06,0.000236,0.000201,0,0.000303,0.025938,0.025938,0,0,0,0,0.026133,0.081661,0.107794,0,0,4e-06,0.000508,0,2e-06,0.564504
"397",812100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2e-05
"398",812200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"399",812300,3e-04,0.000232,9.8e-05,7e-06,0.000126,1e-06,0.333,4e-06,0,7e-06,1e-06,0,4e-06,0.000531,0.000446,3e-06,0.000141,8.6e-05,0,0.000215,0.013292,0.013292,0,0,0,0,0,0,0,0,0,0,0,0,0.000535,0.200133
"400",812900,0.000224,0.000132,3.9e-05,6e-06,8.8e-05,0,0,4e-06,0,2e-06,0,0,1e-06,0,0.000112,1e-06,4e-05,2.8e-05,0,4.4e-05,0.003988,0.003988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018462
"401",813100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"402",814000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
